Name,Ansprechpartner_Inhaber,TechStack_CMS,Category,Phone_GMaps,Phone_Impressum,Phone_DirectMobile,Email_General,Email_Direct,Website,Address,Rating,Reviews,Facebook,Instagram,LinkedIn,PlaceID
Bar Cabana Dachterrasse - Leipzig,,Custom HTML / Standard,Bar,0341 393767900,,,,,https://www.melia.com/de/hotels/deutschland/leipzig/innside-leipzig/restaurants/cabana-rooftop-terrace-bar,"Gottschedstraße 1, 04109 Leipzig",4.3,946,,,,13837566625109558356
Little Vision,,Joomla • Bootstrap,Cocktailbar,0176 47159480,"+4917647159480, 026-08-01 20, +49 (0) 17647159480",+4917647159480,"m.arlt@little-vision.de, info@little-vision.de",m.arlt@little-vision.de,https://little-vision.de/,"Käthe-Kollwitz-Straße 10, 04109 Leipzig",4.8,140,https://www.facebook.com/LittleVisionLeipzig,https://www.instagram.com/little.vision.bar,,6270017441889352974
LaBoum - Leipzig,Thomas Schwenke,Custom HTML / Standard,Cocktailbar,0341 1494221,"0341-1494221, 0212223--00153045, 00074488",,"reservierung@laboum-leipzig.de, info@laboum-leipzig.de",reservierung@laboum-leipzig.de,http://www.laboum-leipzig.de/,"Fischer-Art-Haus, Karl-Liebknecht-Straße 43, 04107 Leipzig",4.5,857,https://www.facebook.com/la.boum?locale=de_DE,https://www.instagram.com/laboum_leipzig/,,10338837176415779916
Jamboree - Leipzig,,WordPress • Divi • WooCommerce,Bar,0341 24887673,"034124753648, +49 341 24753648",,info@jamboree.bar,,https://www.jamboree.bar/,"Käthe-Kollwitz-Straße 11, 04109 Leipzig",4.5,319,,,,17705487724576285801
Killiwilly,Carl Pfeiffer,Bootstrap • Google Analytics,Irish Pub,0341 2114322,"+493412114322, 03419611488, 0341 2131316",,"vasb@xvyyvjvyyl.qr, orjreohat@qervghezfcevatre.qr","vasb@xvyyvjvyyl.qr, orjreohat@qervghezfcevatre.qr",http://www.killiwilly.de/,"Karl-Liebknecht-Straße 44, 04107 Leipzig",4.5,2985,https://www.facebook.com/Killiwilly,https://www.instagram.com/killiwillyleipzig/,,16394983362734672394
Vodkaria,Torsten Junghans,Bootstrap,Gastrokneipe,0341 4428868,"+49 (0) 341 442 88 68, +49 (0) 341 912 28 47",,"junghans@vodkaria.de, roewer@vodkaria.de","junghans@vodkaria.de, roewer@vodkaria.de",http://www.vodkaria.de/,"Gottschedstraße 15, 04109 Leipzig",4.5,1437,https://www.facebook.com/Vodkaria.Leipzig,,,10588387175846808277
Bellini's Restaurant & Bar,,Custom HTML / Standard,Restaurant,0341 9617681,,,,,https://www.bellinis-leipzig.de/,"Barfußgäßchen 3, 04109 Leipzig",4.4,1037,,,,11002917795806934104
Nightfly Lounge Leipzig,,Bootstrap • Google Analytics,Shisha-Bar,0177 3830046,,,kontakt@speisekartenweb.de,,https://speisekartenweb.de/restaurants/leipzig/nightfly-lounge-leipzig-203276?utm_source=google_profile&utm_medium=google_profile&utm_campaign=brief_49_02_2026,"Große Fleischergasse 19, 04109 Leipzig",4.6,1205,,,,7145975781532673089
pixi,,Shopify • React • Bootstrap,Kneipe,,"044305672, 091-8803-2, 040499275067","0172743869, 015658191005",,,https://instagram.com/pixi_kollektivbar?igshid=YmMyMTA2M2Y=,"Georg-Schwarz-Straße 3, 04177 Leipzig",4.8,156,,,,1021068364709815028
Stammbar Leipzig,"Nadine Herzog, Michael Riccardi",Wix • React • Bootstrap,Bar,0341 24875740,"0391096, 0504394, 0-6322-487",017662234001,kontakt@stammbar-leipzig.de,,http://www.stammbar-leipzig.de/,"Breite Str. 8, 04317 Leipzig-Südost",4.7,194,,https://www.instagram.com/stammbarleipzig/,,8863651298153742415
CLASSIC LOUNGE - Leipzig,Christian Wolf,WordPress • Divi • Google Analytics,Autowerkstatt,0341 3069830,"+493413069830, 0)341 306 83 86, 0)341 - 306 83 86",,info@classic-lounge.de,,http://www.classic-lounge.de/,"Arno-Nitzsche-Straße 27, 04277 Leipzig-Süd",4.6,91,http://www.facebook.com/Classic-Lounge-135043159876645/?fref=ts,http://www.instagram.com/classicloungeleipzig/,https://de.linkedin.com/company/classicloungeleipzig,14892284776290060809
Moertelwerk,,Wix • React • Bootstrap,Hochzeitsräumlichkeit,,"0391096, 09-2766-3, 0599971",0160522,faber@moertelwerk.de,faber@moertelwerk.de,https://www.moertelwerk.de/,"Am Kanal 28, 04179 Leipzig-Alt-West",4.6,590,,https://www.instagram.com/moertelwerk/,,7436362344623623792
Kildare City Pub,Sven Asmus,WordPress • Elementor • Bootstrap • WhatsApp Widget,Irish Pub,0341 9839740,"026-06-28 19, 0 0 512 512, 0-21 6-35 35-35",0-153 60-292,"info@kildare.de, info@bmss-leipzig.de",,http://www.kildare.de/,"Barfußgäßchen 5-7, 04109 Leipzig",4.5,3092,https://www.facebook.com/kildarecitypubleipzig/,https://www.instagram.com/kcp_leipzig/,,11834069988125823650
Metropolis Tabledance (Lounge,"Kevin Kral, Andreas Scharf",WordPress • Elementor,Nachtclub,0341 4625615,"026-06-28 19, +49 (0) 341/4625615",,info@metropolis-leipzig.de,,http://www.metropolis-leipzig.de/,"Große Fleischergasse 4, 04109 Leipzig",4.7,129,https://www.facebook.com/MetropolisTabledance/,https://www.instagram.com/metropolis_leipzig,,9752297234336574420
JOLYS Live Music Bar,,WordPress • Elementor • Divi • Matomo,Bar mit Livemusik,0176 21794168,"01762179416, 017621794168, 00000000","01762179416, 017621794168",,,http://www.jolys-leipzig.de/,"Neumarkt 9, 04109 Leipzig",4.6,890,https://www.facebook.com/jolysleipzig,https://www.instagram.com/jolys_livemusicbar/,,14776660340183727069
Bar de Montreal,,N/A (No Website),Bar,,,,,,,"Georg-Schwarz-Straße 38, 04177 Leipzig",4.7,15,,,,12115084704850596615
Cheers Bar Leipzig,,Jimdo • Google Analytics,Bar,0174 7150429,"02440898, 02441298, +49 174 7150429",+49 174 7150429,,,https://cheers-bar.jimdofree.com/,"Hedwigstraße 4, 04315 Leipzig-Ost",4.7,75,,,,12360132606015063027
HUWA - 100 Wasser Leipzig,,WordPress • Elementor • Divi • WooCommerce,Restaurant,0341 2157927,"+4920341202157927, +493412157927, +49 341 2157927",,"info@eviltec.dev, info@huwa-leipzig.de",,https://www.huwa-leipzig.de/,"Barfußgäßchen 15 Ecke, Dittrichring, 04109 Leipzig",4.6,1453,https://www.facebook.com/HUWALeipzig,https://www.instagram.com/huwaleipzig/,,3094585745151514355
Goldhopfen - Craft Beer Bar Leipzig,,Custom HTML / Standard,Bar,01573 3879316,+4915733879316,+4915733879316,,,https://www.goldhopfen.de/,"Kolonnadenstraße 11, 04109 Leipzig",4.6,434,,,,18144030357894551828
McCormacks Irish Pub & Lounge,,Cookiebot,Irish Pub,0341 3067104,"+493413067104, 00076804157, 07185361",,,,https://mc-cormacks.de/,"Karl-Liebknecht-Straße 75, 04275 Leipzig-Süd",4.5,1664,https://www.facebook.com/IrishPubKarli75,https://www.instagram.com/mccormacksleipzig/,,15963642347026285228
Nepomuk,Nepomuk Bar,WordPress • Bootstrap • WooCommerce,Bar,0176 62874388,+49 176 628 74 388,+49 176 628 74 388,info@nepomuk-leipzig.de,,http://nepomuk-leipzig.de/,"Zschochersche Str. 57, 04229 Plagwitz",4.8,100,,https://www.instagram.com/nepomuk.leipzig/,,7705380645270664920
